string,num,list,bool,date,time,truedata
anneau du Vic-Bilh,100,"one,Two,tHREE",true,2/1/1900,1:45 PM,3
ambert,99,"o,gsd,sdf",true,2/2/1900,2:46 PM,4
avaxtskyr,98,"8,5,4",false,2/3/1900,3:47 PM,5
Babybel,97,"uy,sdf",true,2/4/1900,4:48 PM,3
Baguette Laonnaise,96,"one,Two,tHREE",true,2/5/1900,11:49 PM,4
Bakers,95,"o,gsd,sdf",false,2/6/1900,1:45 PM,5
Baladi,94,"8,5,4",true,2/7/1900,2:46 PM,3
Bandal,93,"uy,sdf",true,2/8/1900,3:47 PM,4
Banon,92,"one,Two,tHREE",false,2/9/1900,4:48 PM,5
Basket Cheese,91,"o,gsd,sdf",true,2/10/1900,11:49 PM,3
Bath Cheese,90,"8,5,4",true,2/11/1900,1:45 PM,4
Beer Cheese,89,"uy,sdf",false,2/12/1900,2:46 PM,5
Bergader,88,"one,Two,tHREE",true,2/13/1900,3:47 PM,3
Bleu d'Auvergne,87,"o,gsd,sdf",true,2/14/1900,4:48 PM,4
Bleu de Gex,86,"8,5,4",false,2/15/1900,11:49 PM,5
Bleu de Laqueuille,85,"uy,sdf",true,2/16/1900,1:45 PM,3
Bleu Des Causses,84,"one,Two,tHREE",true,2/17/1900,2:46 PM,4
Blue Castello,83,"o,gsd,sdf",false,2/18/1900,3:47 PM,5
Bonchester,82,"8,5,4",true,2/19/1900,4:48 PM,3
Bosworth,81,"uy,sdf",true,2/20/1900,11:49 PM,4
Bougon,80,"one,Two,tHREE",false,2/21/1900,1:45 PM,5
Boursault,79,"o,gsd,sdf",true,2/22/1900,2:46 PM,3
Boursin,78,"8,5,4",true,2/23/1900,3:47 PM,4
Bouyssou,77,"uy,sdf",false,2/24/1900,4:48 PM,5
Breakfast Cheese,76,"one,Two,tHREE",true,2/25/1900,11:49 PM,3
Brebis du Lavort,75,"o,gsd,sdf",true,2/26/1900,1:45 PM,4
Brebis du Lochois,74,"8,5,4",false,2/27/1900,2:46 PM,5
